"","CCAA","SEXO","EDAD","P1","P2","P3","P4","P5","P6","P7","ECOESP","ECOPER","CONFIANZAPTE","CONFIANZAOPOSIC","IA_VALIDA","IA_MODIFICADA"
"1",1,2,79,5,2,3,1,1,2,8,4,3,4,8,1,0
"2",1,1,56,2,1,1,1,1,1,NA,5,4,4,3,1,0
"3",1,1,65,1,1,8,1,1,2,1,2,2,3,4,1,0
"4",1,1,72,2,1,2,1,1,1,NA,2,1,1,3,1,0
"5",1,1,38,4,1,3,1,1,2,2,4,2,3,3,1,0
"6",1,1,35,2,3,1,2,1,2,1,5,9,4,3,1,0
"7",1,1,42,2,3,1,1,1,1,NA,4,2,3,3,1,0
"8",1,1,28,4,2,3,2,1,2,1,4,4,3,3,1,0
"9",1,1,32,2,1,3,1,1,2,1,4,1,2,3,1,0
"10",1,1,60,1,3,3,3,1,1,NA,4,4,4,4,1,0
"11",1,2,67,2,1,1,2,1,1,NA,4,2,4,2,1,0
"12",1,1,25,1,3,1,1,1,2,1,2,2,2,3,1,0
"13",1,2,63,1,1,1,2,1,1,NA,2,2,1,4,1,0
"14",1,1,56,2,1,3,1,1,2,2,2,2,1,3,1,0
"15",1,1,42,2,1,8,1,1,8,1,2,2,2,4,1,0
"16",1,2,53,2,3,1,2,1,1,NA,5,4,4,3,1,0
"17",1,1,44,1,1,1,2,1,1,NA,5,5,2,3,1,0
"18",1,1,35,1,3,1,1,1,1,NA,5,5,3,4,1,0
"19",1,1,59,2,1,2,1,1,1,NA,4,2,3,3,1,0
"20",1,2,61,5,2,9,8,2,2,2,5,5,4,4,1,0
"21",1,1,39,1,2,1,2,1,2,1,5,3,4,3,1,0
"22",1,2,54,1,3,3,1,1,1,NA,4,2,4,4,1,0
"23",1,1,44,2,2,3,1,1,2,1,5,2,4,2,1,0
"24",1,1,68,1,1,8,1,1,1,NA,2,3,2,4,1,0
"25",1,1,18,2,2,2,3,1,2,1,5,2,3,3,1,0
"26",1,1,46,1,1,9,2,1,1,NA,4,2,4,4,0,0
"27",1,1,67,1,1,1,3,1,1,NA,5,5,4,4,1,0
"28",1,2,41,2,1,1,3,1,1,NA,4,5,4,4,1,0
"29",1,2,61,1,3,3,1,1,1,NA,3,2,2,3,1,0
"30",1,1,45,5,2,2,1,1,2,2,5,3,4,3,1,0
"31",1,1,47,1,2,1,2,1,1,NA,5,4,4,3,1,0
"32",1,2,23,1,2,2,1,1,2,1,2,2,2,2,1,0
"33",1,1,57,1,2,2,1,1,1,NA,5,9,4,2,1,0
"34",1,1,70,2,2,1,3,1,1,NA,4,1,4,3,1,0
"35",1,2,49,2,1,1,2,1,2,1,2,1,3,3,1,0
"36",1,1,58,2,3,2,1,1,2,1,4,2,3,3,1,0
"37",1,1,35,1,2,1,3,1,2,2,4,5,3,3,1,0
"38",1,1,38,2,2,2,1,2,2,2,4,2,4,3,1,0
"39",1,1,29,1,1,3,1,1,1,NA,9,5,3,4,1,0
"40",1,1,70,1,2,3,3,1,2,1,5,2,4,2,1,0
"41",1,1,43,1,3,1,3,1,1,NA,4,2,4,3,1,0
"42",1,1,72,1,2,1,1,1,2,1,5,1,4,3,1,0
"43",1,2,50,2,2,1,2,1,2,2,5,4,3,4,1,0
"44",1,2,53,2,1,1,1,1,1,NA,5,4,4,4,1,0
"45",1,1,34,2,2,1,2,1,8,1,4,2,4,4,1,0
"46",1,2,31,2,1,1,8,1,2,2,5,3,4,4,1,0
"47",1,1,45,2,2,9,1,2,2,2,5,4,4,3,1,0
"48",1,1,40,4,2,1,3,1,2,1,4,2,4,3,1,0
"49",1,2,38,1,1,2,1,1,1,NA,5,2,4,3,1,0
"50",1,1,57,1,1,2,3,1,1,NA,4,4,3,3,1,0
"51",1,2,33,2,2,2,1,1,1,NA,4,2,3,4,1,0
"52",1,1,67,1,3,1,3,1,2,1,5,2,4,4,1,0
"53",1,2,79,2,1,3,2,1,1,NA,5,2,4,8,1,0
"54",1,2,66,2,3,1,3,1,1,NA,3,2,1,3,1,0
"55",1,1,80,1,2,2,8,1,1,NA,4,2,4,2,1,0
"56",1,1,74,8,1,2,8,1,1,NA,5,4,4,3,1,0
"57",1,2,39,1,1,1,1,1,1,NA,4,2,4,2,1,0
"58",1,1,46,1,1,1,2,1,2,2,4,2,4,3,1,0
"59",1,1,35,5,1,1,1,1,2,2,5,4,4,4,1,0
"60",1,1,27,1,1,2,1,1,8,1,2,4,4,4,1,0
"61",1,2,60,1,1,1,1,1,1,NA,5,4,3,4,1,0
"62",1,2,26,1,2,8,2,1,1,NA,4,2,3,3,0,0
"63",1,2,52,1,1,8,1,1,1,NA,3,2,4,1,1,0
"64",1,2,22,2,1,3,1,1,2,1,5,2,3,3,1,0
"65",1,1,64,8,2,3,1,1,1,NA,4,3,4,9,0,0
"66",1,1,47,2,3,1,2,1,2,1,3,2,3,4,1,0
"67",1,1,68,2,2,1,3,1,1,NA,5,2,4,4,1,0
"68",1,1,41,4,2,2,1,1,1,NA,4,2,4,3,1,0
"69",1,2,57,2,1,1,1,1,1,NA,4,2,2,4,1,0
"70",1,2,56,1,2,2,1,1,2,2,2,2,2,4,1,0
"71",1,1,57,1,1,1,3,1,1,NA,3,3,9,4,1,0
"72",1,2,36,1,1,2,1,1,1,NA,4,2,3,3,1,0
"73",1,1,22,2,3,3,1,1,2,2,4,2,3,4,1,0
"74",1,2,60,2,1,1,2,1,1,NA,3,3,1,3,1,0
"75",1,2,68,2,2,3,1,1,1,NA,4,2,4,4,1,0
"76",1,2,35,2,1,1,1,1,1,NA,4,2,9,9,1,0
"77",1,1,55,2,3,3,1,2,2,2,4,2,1,4,1,0
"78",1,1,77,4,2,3,1,2,2,2,5,2,4,3,1,0
"79",1,1,18,4,2,2,1,1,1,NA,4,2,4,3,1,0
"80",1,1,20,2,2,1,1,1,1,NA,4,2,4,4,1,0
"81",1,2,76,2,3,1,1,1,1,NA,3,3,3,4,1,0
"82",1,1,37,2,1,1,1,1,2,8,2,1,2,4,1,0
"83",1,1,71,2,1,2,1,1,1,NA,2,2,2,3,1,0
"84",1,2,66,2,3,1,8,1,2,2,4,2,2,4,1,0
"85",1,2,49,1,3,1,1,1,2,1,4,2,4,4,1,0
"86",1,1,36,4,2,3,1,1,2,2,4,2,4,4,1,0
"87",1,2,26,1,3,8,1,1,2,2,2,2,4,2,1,0
"88",1,1,56,1,2,3,1,1,1,NA,4,2,3,3,1,0
"89",1,1,60,1,2,3,1,1,2,2,5,2,4,3,1,0
"90",1,2,46,1,2,2,1,1,1,NA,5,1,3,3,1,0
"91",1,1,60,4,2,3,1,1,2,2,3,2,3,4,1,0
"92",1,2,29,2,2,1,2,1,1,NA,5,2,3,3,1,0
"93",1,1,25,2,3,1,1,1,1,NA,5,2,4,3,1,0
"94",1,1,50,2,3,1,1,1,2,1,2,4,4,4,1,0
"95",1,2,65,1,3,3,8,1,1,NA,4,2,4,3,1,0
"96",1,1,55,5,2,3,1,1,2,2,5,4,4,4,1,0
"97",1,2,31,4,2,3,1,1,2,2,5,5,4,4,1,0
"98",1,2,64,2,3,1,2,1,1,NA,2,2,9,9,1,0
"99",1,2,25,5,2,3,1,1,2,2,5,4,4,3,1,0
"100",1,2,59,2,1,1,1,1,1,NA,5,3,3,3,1,0
"101",1,1,51,1,3,1,1,1,2,2,5,5,4,4,1,0
"102",1,2,41,1,3,1,1,1,2,2,4,4,4,4,1,0
"103",1,1,59,1,2,1,2,1,1,NA,4,4,3,4,1,0
"104",1,1,59,2,2,2,1,1,1,NA,4,3,4,3,1,0
"105",1,2,77,1,1,1,1,1,1,NA,4,4,4,2,1,0
"106",1,2,77,1,2,3,8,1,3,1,4,2,4,3,1,0
"107",1,1,50,1,3,1,2,1,1,NA,4,3,8,8,1,0
"108",1,1,50,1,3,1,3,1,1,NA,5,4,4,4,1,0
"109",1,1,48,2,3,2,2,1,2,1,2,2,2,3,1,0
"110",1,1,47,1,2,2,1,1,2,1,2,2,2,4,1,0
"111",1,1,60,2,3,2,1,1,2,2,4,2,2,4,1,0
"112",1,1,46,2,1,2,1,1,1,NA,4,3,2,4,1,0
"113",1,2,45,1,2,1,1,1,2,2,4,2,2,3,1,0
"114",1,1,50,2,3,1,1,1,1,NA,5,4,4,2,1,0
"115",1,2,55,2,3,1,2,1,1,NA,5,5,4,2,1,0
"116",1,1,42,2,3,1,8,1,2,1,5,5,4,4,1,0
"117",1,1,71,1,1,3,2,1,2,1,4,2,2,4,1,0
"118",1,1,65,2,2,2,1,1,2,1,4,4,1,4,1,0
"119",1,2,74,1,2,1,2,1,1,NA,5,3,4,3,1,0
"120",1,1,31,2,1,1,9,1,1,NA,1,1,2,2,1,0
"121",1,1,56,2,2,2,1,1,2,2,4,3,4,3,1,0
"122",1,1,56,2,1,1,1,1,2,1,4,2,3,4,1,0
"123",1,1,43,1,2,3,1,1,2,2,4,4,4,3,1,0
"124",1,2,56,2,2,2,8,1,2,2,4,4,3,3,1,0
"125",1,2,68,2,1,2,1,1,1,NA,2,2,8,8,1,0
"126",1,2,50,2,1,1,1,1,1,NA,4,2,4,4,1,0
"127",1,1,19,2,2,3,1,1,2,1,4,4,2,3,1,0
"128",1,1,38,4,2,2,1,1,1,NA,4,5,3,3,1,0
"129",1,2,55,1,3,1,1,1,1,NA,4,1,2,4,1,0
"130",1,2,27,1,1,1,8,1,3,1,4,4,3,3,1,0
"131",1,2,52,2,1,1,1,1,1,NA,3,3,2,4,1,0
"132",1,1,19,2,1,1,1,1,2,2,4,2,3,3,1,0
"133",1,1,25,2,2,2,1,1,2,2,5,2,4,3,1,0
"134",1,2,73,1,1,3,1,1,2,1,5,3,4,4,1,0
"135",1,1,45,2,1,1,1,1,1,NA,4,5,3,4,0,0
"136",1,2,44,2,1,3,3,2,2,2,5,4,4,3,1,0
"137",1,1,57,2,2,3,1,1,2,2,4,2,3,3,1,0
"138",1,1,60,2,2,1,1,1,1,NA,5,2,4,3,1,0
"139",1,1,30,2,1,2,1,1,1,NA,4,2,2,3,1,0
"140",1,1,46,1,1,2,1,1,1,NA,4,4,3,3,1,0
"141",1,2,43,1,3,1,3,1,1,NA,4,4,3,3,1,0
"142",1,2,64,1,1,3,1,1,1,NA,4,2,4,3,1,0
"143",1,1,47,2,3,8,8,1,8,1,5,3,4,3,1,0
"144",1,1,56,2,1,1,3,1,1,NA,4,2,4,4,1,0
"145",1,2,25,4,2,3,1,1,2,1,5,5,4,4,1,0
"146",1,2,18,2,2,1,1,1,2,1,4,2,3,4,1,0
"147",1,2,72,2,1,2,1,1,3,1,3,2,2,2,1,0
"148",1,1,69,4,2,3,9,2,2,2,4,2,4,4,1,0
"149",1,1,65,2,2,1,1,1,1,NA,2,3,1,4,1,0
"150",1,1,51,4,2,3,1,1,2,2,5,4,4,2,1,0
"151",1,2,64,2,1,2,1,1,1,NA,2,2,2,4,1,0
"152",1,2,35,1,1,1,2,1,1,NA,4,2,3,3,1,0
"153",1,2,23,2,2,1,1,1,1,NA,4,4,3,3,1,0
"154",1,1,47,1,1,2,1,1,2,2,4,2,3,4,1,0
"155",1,1,55,1,2,3,1,1,1,NA,2,2,4,3,1,0
