"","CCAA","SEXO","EDAD","P1","P2","P3","P4","P5","P6","P7","ECOESP","ECOPER","CONFIANZAPTE","CONFIANZAOPOSIC"
"1",1,2,79,5,2,3,1,1,2,8,4,3,4,8
"2",1,1,56,2,1,1,1,1,1,0,5,4,4,3
"3",1,1,65,1,1,8,1,1,2,1,2,2,3,4
"4",1,1,72,2,1,2,1,1,1,0,2,1,1,3
"5",1,1,38,4,1,3,1,1,2,2,4,2,3,3
"6",1,1,35,2,3,1,2,1,2,1,5,9,4,3
"7",1,1,42,2,3,1,1,1,1,0,4,2,3,3
"8",1,1,28,4,2,3,2,1,2,1,4,4,3,3
"9",1,1,32,2,1,3,1,1,2,1,4,1,2,3
"10",1,1,60,1,3,3,3,1,1,0,4,4,4,4
"11",1,2,67,2,1,1,2,1,1,0,4,2,4,2
"12",1,1,25,1,3,1,1,1,2,1,2,2,2,3
"13",1,2,63,1,1,1,2,1,1,0,2,2,1,4
"14",1,1,56,2,1,3,1,1,2,2,2,2,1,3
"15",1,1,42,2,1,8,1,1,8,1,2,2,2,4
"16",1,2,53,2,3,1,2,1,1,0,5,4,4,3
"17",1,1,44,1,1,1,2,1,1,0,5,5,2,3
"18",1,1,35,1,3,1,1,1,1,0,5,5,3,4
"19",1,1,59,2,1,2,1,1,1,0,4,2,3,3
"20",1,2,61,5,2,9,8,2,2,2,5,5,4,4
"21",1,1,39,1,2,1,2,1,2,1,5,3,4,3
"22",1,2,54,1,3,3,1,1,1,0,4,2,4,4
"23",1,1,44,2,2,3,1,1,2,1,5,2,4,2
"24",1,1,68,1,1,8,1,1,1,0,2,3,2,4
"25",1,1,18,2,2,2,3,1,2,1,5,2,3,3
"26",1,1,67,1,1,1,3,1,1,0,5,5,4,4
"27",1,2,41,2,1,1,3,1,1,0,4,5,4,4
"28",1,2,61,1,3,3,1,1,1,0,3,2,2,3
"29",1,1,45,5,2,2,1,1,2,2,5,3,4,3
"30",1,1,47,1,2,1,2,1,1,0,5,4,4,3
"31",1,2,23,1,2,2,1,1,2,1,2,2,2,2
"32",1,1,57,1,2,2,1,1,1,0,5,9,4,2
"33",1,1,70,2,2,1,3,1,1,0,4,1,4,3
"34",1,2,49,2,1,1,2,1,2,1,2,1,3,3
"35",1,1,58,2,3,2,1,1,2,1,4,2,3,3
"36",1,1,35,1,2,1,3,1,2,2,4,5,3,3
"37",1,1,38,2,2,2,1,2,2,2,4,2,4,3
